Passenger_ID,Stop_ID,Latitude,Longitude,Boarding,Alighting,Passenger_Count,Time,Day,Weather,Traffic_Level,Road_Width,Population_Density,Land_Use,Distance_to_Next_Stop_m,Bus_Frequency,Waiting_Time_min,Bus_Dwell_Time_sec,Walking_Distance_m,Occupancy_pct,Peak_Hour,Bus_Route
1,BS018,13.032845,77.541677,31,0,45,19:15,Tuesday,Cloudy,Medium,14,5081,Institutional,282,19,6,50,170,100,Yes,R02
2,BS035,13.008577,77.56889,36,29,88,07:00,Wednesday,Rainy,Low,15,5091,Residential,420,10,12,29,267,24,Yes,R03
3,BS013,13.077392,77.49495,0,26,54,08:00,Friday,Sunny,Low,8,4035,Institutional,455,12,2,60,411,58,Yes,R01
4,BS017,13.007325,77.495021,38,18,85,18:45,Sunday,Sunny,High,22,3738,Institutional,550,9,7,46,232,24,Yes,R01
5,BS020,13.020831,77.501425,6,27,48,12:45,Tuesday,Cloudy,Low,14,7165,Mixed,304,5,14,21,191,35,No,R02
6,BS043,13.069922,77.539233,35,13,66,12:15,Tuesday,Cloudy,High,8,4133,Mixed,407,9,3,19,479,55,No,R02
7,BS025,13.043511,77.504343,21,23,51,19:30,Saturday,Sunny,High,21,6664,Commercial,475,9,11,46,428,52,Yes,R02
8,BS027,13.032201,77.505619,32,12,69,19:30,Monday,Cloudy,Medium,17,6967,Institutional,328,9,11,48,337,35,Yes,R03
9,BS001,13.018904,77.528699,28,12,58,07:00,Friday,Cloudy,Low,11,9209,Mixed,522,5,12,37,89,84,Yes,R02
10,BS001,13.054268,77.533708,9,3,29,12:45,Thursday,Rainy,Low,29,1566,Residential,669,8,4,26,450,51,No,R02
11,BS048,13.048903,77.51037,4,7,34,19:30,Friday,Sunny,High,29,1570,Institutional,449,18,9,33,266,57,Yes,R01
12,BS018,13.079537,77.535104,39,13,79,17:30,Monday,Sunny,High,29,1227,Mixed,336,7,5,23,396,86,Yes,R03
13,BS050,13.074459,77.520228,27,21,51,09:15,Tuesday,Rainy,High,19,9880,Mixed,251,7,2,32,219,85,Yes,R01
14,BS017,13.032237,77.54899,34,8,43,17:00,Monday,Cloudy,Medium,24,2074,Commercial,614,8,6,60,313,32,Yes,R02
15,BS050,13.006563,77.548119,35,13,55,08:15,Saturday,Rainy,Medium,9,9781,Residential,680,17,13,21,382,83,Yes,R03
16,BS018,13.063101,77.544938,1,0,4,19:15,Tuesday,Rainy,High,10,11191,Residential,318,7,6,28,54,79,Yes,R01
17,BS043,13.063305,77.51142,25,17,66,18:00,Tuesday,Sunny,High,27,10924,Institutional,303,20,3,36,362,90,Yes,R02
