Bus_Stop_Name,Sequence,Latitude_Est,Longitude_Est,Road_Width_m,Distance_to_Next_Stop_m,Boarding ,Alighting,Passenger_Count,Peak_Hour_Passengers,Traffic_Level,School_Nearby,College_Nearby,Industry_Nearby,Hospital_Nearby,Residential_Nearby,Commercial_Nearby,Bus_Shelter,Seating,Street_Lighting,Footpath,Zebra_Crossing,Bus_Bay,Walking_Distance_m,Waiting_Time_min,Dwell_Time_sec,Population_Density_persons_km2,Land_Use,Safety_Score_0_100,Accessibility_Score_0_100,Optimal_Stop,Data_Status
Gangamma Temple Chikkabanavara,1,13.075366,77.550293,4.7,318,62,31,144,192,Medium,0,0,1,0,0,0,Yes,No,Yes,No,No,Yes,438,15.0,25,14438,Industrial,76,72,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Chikka Banavara,2,13.070196,77.549369,5.2,515,56,62,143,201,Medium,0,0,0,0,1,0,No,No,No,Yes,No,Yes,332,7.0,55,13133,Mixed,91,67,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Railway Station Chikkabanavara,3,13.068789,77.546408,8.3,572,61,34,146,248,Medium,0,0,0,0,0,1,No,Yes,No,No,Yes,Yes,323,14.0,30,5677,Industrial,79,72,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Janapriya Apartment,4,13.065462,77.544576,9.8,783,57,30,89,128,Low,0,0,0,0,0,0,No,No,Yes,No,No,No,123,7.0,23,7040,Institutional,89,71,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Sapthagiri Hospital,5,13.058867,77.1485,8.0,758,59,35,75,92,Low,0,1,0,1,0,1,No,No,Yes,Yes,No,No,115,5.0,24,6320,Institutional,70,65,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Sapthagiri College,6,13.058437,77.541832,8.0,753,78,38,149,256,Medium,1,1,1,0,0,0,No,No,No,Yes,No,No,355,10.0,48,7119,Institutional,55,62,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Bone Mill,7,13.05566,77.543944,5.9,561,34,19,62,91,Low,0,0,1,0,1,0,No,Yes,No,No,Yes,Yes,241,15.0,25,11837,Institutional,55,93,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Bagalagunte Bus Station,8,13.05382,77.541353,,827,60,39,96,170,Low,0,0,1,0,0,1,Yes,Yes,Yes,No,Yes,No,320,12.0,42,6470,Institutional,67,74,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Bagalagunte,9,13.049732,77.540136,8.5,373,49,37,106,141,High,0,0,1,1,1,0,No,Yes,No,Yes,Yes,Yes,412,13.0,18,6750,Residential,57,76,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Widia School,10,13.046535,77.537504,9.0,646,95,37,173,233,High,1,0,1,0,1,1,Yes,Yes,Yes,No,No,No,260,10.0,18,14032,Residential,58,80,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
8th Mile,11,13.041976,77.538472,9.0,569,91,62,161,234,Low,0,0,0,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,97,15.0,30,5724,Industrial,86,85,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
8th Mile,11,13.041976,77.538472,8.15,569,78,71,145,250,Low,0,0,0,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,97,15.0,30,5724,Industrial,86,85,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Widia School,10,13.046535,77.537504,9.6,646,58,45,110,197,High,1,0,1,0,1,1,Yes,Yes,Yes,No,No,No,260,10.0,18,14032,Residential,58,80,Yes,Stop name/sequence sourced; other values are synthetic/estimated for modelling
Bagalagunte,9,13.049732,77.540136,7.6,373,47,51,101,127,High,0,0,1,1,1,0,No,Yes,No,Yes,Yes,Yes,412,13.0,18,6750,Residential,57,76,No,Stop name/sequence sourced; other values are synthetic/estimated for modelling
